City,PM2.5,PM10,CO,NO2,SO2,O3,Temperature,Humidity,AQI,Category
Hyderabad,127.4,211.9,2.47,117.4,79.0,131.1,14.2,84.6,165.2,Unhealthy
Pune,138.9,68.7,2.23,118.5,7.7,84.3,10.4,36.2,134.5,Unhealthy for Sensitive Groups
Bengaluru,129.1,223.7,2.35,52.8,56.7,16.1,27.2,66.2,139.7,Unhealthy for Sensitive Groups
Bengaluru,24.4,323.1,4.39,22.9,27.5,84.2,34.4,68.7,142.7,Unhealthy for Sensitive Groups
Kolkata,176.2,258.2,3.84,11.7,8.7,63.7,24.5,65.7,175.7,Unhealthy
Kolkata,34.3,250.7,3.22,23.8,76.3,75.6,35.1,74.1,108.8,Unhealthy for Sensitive Groups
Jaipur,188.7,307.0,3.35,18.6,72.2,50.2,23.7,59.3,193.4,Unhealthy
Mumbai,158.7,178.7,2.4,11.4,69.0,27.5,15.0,78.0,156.3,Unhealthy
Delhi,61.0,183.0,0.39,104.2,21.1,68.7,22.3,31.3,111.4,Unhealthy for Sensitive Groups
Hyderabad,140.5,320.7,3.38,53.2,27.1,61.2,33.0,40.3,172.2,Unhealthy
Bengaluru,34.3,238.9,0.43,30.7,42.2,11.2,22.8,85.8,98.3,Moderate
Lucknow,85.2,198.1,0.23,28.1,46.0,46.0,29.9,54.8,103.6,Unhealthy for Sensitive Groups
Delhi,249.5,273.8,3.35,67.9,64.1,25.3,39.8,21.8,225.9,Very Unhealthy
Delhi,238.0,10.5,3.03,102.6,58.7,19.0,27.0,37.9,155.1,Unhealthy
Mumbai,243.3,58.4,1.4,10.0,20.1,119.1,23.2,87.2,145.5,Unhealthy for Sensitive Groups
Hyderabad,147.3,181.8,2.94,50.4,48.2,13.4,31.2,29.8,141.4,Unhealthy for Sensitive Groups
Mumbai,231.9,143.6,3.78,42.5,37.3,36.5,40.2,30.2,190.5,Unhealthy
Mumbai,43.1,65.9,2.2,51.7,43.8,135.2,16.6,43.1,67.1,Moderate
Hyderabad,27.2,284.6,1.51,86.0,49.1,34.0,37.4,31.1,121.0,Unhealthy for Sensitive Groups
Mumbai,102.1,26.6,1.49,99.3,15.6,133.5,37.3,61.7,91.5,Moderate
Mumbai,118.2,283.3,0.8,6.4,66.8,137.6,14.2,81.8,142.5,Unhealthy for Sensitive Groups
Hyderabad,147.7,98.0,3.69,7.5,7.0,126.8,24.2,29.7,143.2,Unhealthy for Sensitive Groups
Hyderabad,35.0,330.4,0.42,111.3,35.8,102.8,25.9,48.7,126.3,Unhealthy for Sensitive Groups
Patna,57.6,73.6,1.4,106.6,4.7,88.6,17.9,42.1,75.4,Moderate
Delhi,122.4,39.8,1.85,53.2,52.1,112.6,18.0,94.6,101.2,Unhealthy for Sensitive Groups
Hyderabad,247.4,275.9,1.74,67.6,39.8,128.2,26.1,49.1,206.9,Very Unhealthy
Kolkata,151.3,20.0,3.69,37.3,65.1,68.7,21.4,63.8,110.2,Unhealthy for Sensitive Groups
Pune,29.5,233.3,1.35,98.9,73.5,12.5,41.9,36.5,114.4,Unhealthy for Sensitive Groups
Hyderabad,91.9,295.3,3.83,25.3,48.2,113.8,32.3,88.5,147.3,Unhealthy for Sensitive Groups
Mumbai,237.2,201.6,2.62,26.6,79.1,124.0,25.8,43.2,196.8,Unhealthy
Hyderabad,18.8,214.6,0.29,60.0,27.9,87.9,35.8,45.6,72.1,Moderate
Pune,19.6,60.2,3.23,21.3,10.7,76.0,21.7,25.4,65.2,Moderate
Patna,148.6,124.4,1.59,117.2,59.1,64.0,30.5,56.5,132.0,Unhealthy for Sensitive Groups
Delhi,174.9,325.8,3.58,30.7,47.9,28.7,19.8,71.6,188.1,Unhealthy
Chennai,237.5,332.6,1.88,119.3,77.3,9.4,29.3,89.1,243.8,Very Unhealthy
Hyderabad,161.7,45.4,2.33,43.1,8.1,51.8,20.2,67.7,127.4,Unhealthy for Sensitive Groups
Kolkata,114.4,100.2,1.27,12.8,22.0,19.6,10.0,48.9,98.7,Moderate
Kolkata,221.7,177.6,1.83,67.8,9.9,69.7,37.6,68.8,180.3,Unhealthy
Mumbai,115.6,281.7,0.34,7.3,22.4,19.1,20.9,86.6,119.2,Unhealthy for Sensitive Groups
Pune,139.0,315.4,0.6,73.3,49.9,70.2,11.0,90.7,156.1,Unhealthy
Chennai,43.5,44.4,1.08,26.8,56.4,102.5,33.4,39.9,48.5,Good
Lucknow,28.5,143.6,2.56,61.5,6.3,5.5,12.8,81.8,83.1,Moderate
Bengaluru,53.9,18.8,0.93,38.6,8.4,118.9,19.9,49.8,50.9,Moderate
Bengaluru,27.3,195.0,0.99,106.8,30.8,65.2,18.4,54.9,83.8,Moderate
Delhi,143.2,61.4,3.19,16.1,54.1,114.1,23.2,76.7,111.9,Unhealthy for Sensitive Groups
Delhi,211.0,288.3,2.0,66.6,69.6,69.1,38.2,55.7,190.8,Unhealthy
Chennai,128.0,316.2,3.64,82.9,50.4,21.2,34.2,33.0,198.3,Unhealthy
Mumbai,203.1,52.9,2.02,118.7,36.0,139.6,30.1,82.6,144.0,Unhealthy for Sensitive Groups
Pune,26.3,199.2,2.57,103.5,42.5,128.8,10.4,72.5,112.8,Unhealthy for Sensitive Groups
Patna,32.6,60.9,2.64,72.0,77.3,18.5,13.4,78.5,77.9,Moderate
Pune,220.6,308.5,1.34,80.3,46.6,68.9,15.5,50.2,211.3,Very Unhealthy
Bengaluru,14.5,312.5,1.63,32.3,60.2,129.3,38.7,21.5,125.9,Unhealthy for Sensitive Groups
Hyderabad,81.2,296.6,3.89,83.8,77.9,35.8,19.6,75.8,171.3,Unhealthy
Delhi,71.0,151.7,2.98,26.6,18.5,116.2,33.7,77.0,118.3,Unhealthy for Sensitive Groups
Chennai,131.2,64.1,1.54,63.3,12.6,119.9,38.1,22.2,97.1,Moderate
Mumbai,210.1,94.8,2.16,110.6,57.0,42.0,36.4,57.9,163.7,Unhealthy
Bengaluru,171.9,92.3,2.3,56.3,76.9,69.1,27.6,45.8,148.4,Unhealthy for Sensitive Groups
Chennai,188.5,244.2,1.43,49.5,14.7,82.3,40.9,84.3,176.1,Unhealthy
Delhi,70.9,149.2,0.29,94.7,61.9,6.2,39.2,68.6,94.2,Moderate
Chennai,59.8,216.8,4.25,87.0,57.3,42.2,38.7,83.9,134.5,Unhealthy for Sensitive Groups
Jaipur,119.3,240.2,3.74,50.7,10.0,74.1,31.2,83.2,153.5,Unhealthy
Bengaluru,154.2,111.5,0.66,12.3,79.1,91.5,37.6,39.6,123.5,Unhealthy for Sensitive Groups
Delhi,51.1,185.9,1.23,11.5,68.9,114.4,22.9,44.0,83.8,Moderate
Chennai,165.6,349.1,1.32,53.1,32.3,9.8,32.7,62.9,174.3,Unhealthy
Bengaluru,173.1,227.0,2.25,113.2,30.0,45.5,15.4,69.3,177.0,Unhealthy
Hyderabad,28.9,53.5,1.31,98.0,61.5,29.7,31.8,45.2,46.2,Good
Jaipur,59.7,306.3,2.01,107.0,31.0,84.1,24.8,28.8,130.5,Unhealthy for Sensitive Groups
Kolkata,147.2,221.0,2.23,27.4,11.3,96.9,27.0,51.0,162.3,Unhealthy
Lucknow,38.7,78.1,1.96,70.5,72.7,66.8,20.1,73.7,82.1,Moderate
Mumbai,86.5,345.5,1.55,11.7,37.3,33.3,34.8,63.2,134.5,Unhealthy for Sensitive Groups
Hyderabad,36.7,157.5,2.05,54.3,39.2,5.6,27.1,74.8,97.5,Moderate
Patna,190.4,190.6,0.28,5.5,59.2,35.5,38.1,43.4,131.7,Unhealthy for Sensitive Groups
Kolkata,149.2,66.8,3.74,39.3,24.7,103.3,29.1,45.3,140.5,Unhealthy for Sensitive Groups
Kolkata,89.0,316.5,1.74,26.7,76.0,129.0,22.9,37.1,159.0,Unhealthy
Jaipur,56.7,17.5,2.37,19.2,57.5,111.9,22.0,68.0,72.3,Moderate
Lucknow,16.9,348.2,3.05,80.2,3.5,98.1,23.3,48.5,139.7,Unhealthy for Sensitive Groups
Pune,177.0,79.9,3.15,6.1,34.8,18.6,26.6,66.7,135.8,Unhealthy for Sensitive Groups
Patna,208.5,45.7,3.29,18.5,10.9,19.3,16.4,35.0,129.5,Unhealthy for Sensitive Groups
Delhi,243.4,131.7,1.96,23.4,44.8,127.9,32.0,56.0,166.2,Unhealthy
Bengaluru,169.6,318.3,3.79,81.9,13.6,17.2,26.4,74.3,188.8,Unhealthy
Hyderabad,162.9,165.3,4.4,35.4,5.9,114.8,38.0,83.9,159.5,Unhealthy
Jaipur,109.4,49.4,3.86,107.4,2.8,23.7,30.7,44.6,122.3,Unhealthy for Sensitive Groups
Lucknow,70.7,259.2,1.8,44.4,10.9,59.0,24.6,82.7,128.4,Unhealthy for Sensitive Groups
Jaipur,201.0,230.6,3.63,18.0,56.3,12.9,40.2,32.0,182.7,Unhealthy
Kolkata,123.3,203.4,2.08,75.3,62.8,87.5,37.6,86.0,152.2,Unhealthy
Jaipur,123.4,176.0,4.02,55.7,6.9,93.4,10.4,85.1,147.9,Unhealthy for Sensitive Groups
Lucknow,182.3,86.2,4.31,105.4,42.5,97.9,29.8,52.5,170.9,Unhealthy
Lucknow,89.7,239.9,1.85,101.5,45.6,138.4,11.7,68.3,133.4,Unhealthy for Sensitive Groups
Pune,213.7,305.6,0.52,61.5,20.8,136.0,11.6,36.7,201.4,Very Unhealthy
Delhi,205.2,36.8,2.11,70.9,8.9,72.3,20.1,93.6,142.2,Unhealthy for Sensitive Groups
Chennai,30.1,150.2,2.6,5.0,9.1,86.6,29.8,42.8,79.7,Moderate
Hyderabad,165.4,165.1,1.67,99.9,65.7,119.0,20.6,77.6,160.6,Unhealthy
Mumbai,180.4,48.8,3.47,30.5,28.6,117.0,40.9,41.9,136.9,Unhealthy for Sensitive Groups
Pune,16.2,65.8,0.8,87.4,58.3,19.4,29.5,34.1,62.2,Moderate
Lucknow,57.8,290.3,1.02,43.9,61.1,11.3,30.3,70.4,107.7,Unhealthy for Sensitive Groups
Patna,117.1,210.4,2.37,115.8,2.3,104.4,27.7,52.5,151.7,Unhealthy
Pune,196.4,319.5,3.17,25.0,65.6,19.0,31.0,65.5,198.6,Unhealthy
Jaipur,107.6,217.1,3.18,33.5,33.0,51.3,19.4,80.4,128.5,Unhealthy for Sensitive Groups
Jaipur,176.5,264.5,1.49,85.7,69.1,101.1,39.9,67.4,174.0,Unhealthy
Mumbai,180.0,243.4,4.16,20.3,57.4,136.6,15.7,60.7,196.4,Unhealthy
Pune,191.4,201.2,2.71,113.4,57.4,96.0,38.6,60.0,197.8,Unhealthy
Bengaluru,203.0,187.7,0.31,21.7,54.3,32.0,34.0,32.1,144.2,Unhealthy for Sensitive Groups
Patna,40.9,31.1,3.57,28.5,44.2,53.4,24.5,66.2,71.6,Moderate
Pune,216.9,262.4,2.61,32.3,63.2,112.8,19.2,69.8,214.7,Very Unhealthy
Lucknow,107.1,278.0,3.15,116.1,6.2,105.4,16.5,85.2,179.0,Unhealthy
Bengaluru,208.3,319.9,3.23,79.5,60.9,78.8,29.3,78.2,235.8,Very Unhealthy
Kolkata,115.0,344.4,0.52,115.7,59.3,21.1,11.3,40.9,158.5,Unhealthy
Jaipur,148.1,96.7,1.62,86.6,14.1,25.7,20.3,23.8,132.7,Unhealthy for Sensitive Groups
Patna,211.6,112.4,3.6,68.3,7.7,100.5,26.8,91.8,170.6,Unhealthy
Jaipur,44.0,194.6,1.93,45.2,70.9,94.6,20.6,42.0,116.5,Unhealthy for Sensitive Groups
Jaipur,135.0,348.9,3.74,117.8,2.7,95.3,24.3,87.8,205.9,Very Unhealthy
Patna,64.7,23.6,4.01,48.9,64.1,20.3,18.2,74.3,66.7,Moderate
Kolkata,206.4,137.5,3.65,56.2,5.4,126.3,16.2,58.5,187.6,Unhealthy
Chennai,243.0,272.9,2.49,77.1,18.4,90.0,16.8,71.4,226.9,Very Unhealthy
Hyderabad,136.7,248.9,4.4,94.1,52.4,131.9,33.9,31.5,185.3,Unhealthy
Pune,14.3,34.9,0.97,34.0,7.5,115.9,39.2,50.6,35.3,Good
Mumbai,111.1,15.7,3.1,66.5,52.0,88.5,34.2,63.9,105.1,Unhealthy for Sensitive Groups
Delhi,92.6,181.0,1.45,83.9,49.3,43.0,39.7,48.6,127.7,Unhealthy for Sensitive Groups
Hyderabad,121.1,191.4,0.79,50.0,64.2,78.7,40.7,30.8,132.1,Unhealthy for Sensitive Groups
Chennai,239.6,13.8,3.96,21.3,5.3,82.3,22.6,61.1,139.9,Unhealthy for Sensitive Groups
Chennai,188.3,317.2,1.68,52.5,52.4,74.2,15.2,36.6,204.8,Very Unhealthy
Mumbai,33.1,238.1,2.64,11.3,60.6,138.7,27.6,68.4,99.0,Moderate
Chennai,66.4,77.1,2.7,114.4,29.9,95.6,17.5,41.4,84.1,Moderate
Delhi,82.9,163.2,2.85,40.2,47.6,81.3,21.7,43.7,114.3,Unhealthy for Sensitive Groups
Lucknow,81.7,277.1,3.26,78.7,23.6,53.5,31.7,44.9,149.0,Unhealthy for Sensitive Groups
Bengaluru,92.9,113.9,2.57,25.2,49.3,118.6,37.5,30.5,108.0,Unhealthy for Sensitive Groups
Chennai,184.7,223.1,3.33,107.6,68.3,90.3,36.0,63.4,201.5,Very Unhealthy
Bengaluru,227.0,197.5,2.54,119.9,38.8,109.7,21.7,36.7,208.8,Very Unhealthy
Patna,37.8,180.4,0.59,46.8,2.8,37.2,40.8,93.6,82.2,Moderate
Lucknow,39.4,64.1,2.64,70.1,70.0,24.7,33.4,90.4,58.9,Moderate
Delhi,61.8,99.9,1.21,81.9,42.4,111.8,22.4,88.8,97.4,Moderate
Pune,245.2,120.2,3.23,65.0,66.7,117.7,18.4,60.8,179.8,Unhealthy
Lucknow,94.5,232.1,3.79,64.4,31.4,127.5,26.5,46.5,163.0,Unhealthy
Kolkata,199.2,311.6,0.23,106.4,36.3,36.0,26.5,41.1,180.3,Unhealthy
Kolkata,93.7,253.9,0.71,31.5,65.3,102.2,25.4,55.9,119.7,Unhealthy for Sensitive Groups
Kolkata,163.6,149.7,1.25,19.7,48.2,23.2,26.4,86.8,118.9,Unhealthy for Sensitive Groups
Mumbai,68.3,71.2,4.32,73.9,46.0,7.5,33.0,69.6,91.9,Moderate
Jaipur,58.1,216.2,2.23,60.4,19.1,60.5,14.6,63.7,120.9,Unhealthy for Sensitive Groups
Chennai,166.6,99.9,3.31,44.4,37.4,84.7,17.4,48.9,130.3,Unhealthy for Sensitive Groups
Patna,133.1,319.2,3.14,100.0,49.2,29.0,38.9,65.0,197.1,Unhealthy
Patna,128.3,50.0,2.27,20.0,49.1,116.7,38.7,78.1,108.0,Unhealthy for Sensitive Groups
Jaipur,108.1,307.4,3.2,54.3,75.2,70.1,34.6,46.3,179.3,Unhealthy
Delhi,28.9,55.5,2.25,31.7,69.0,43.2,38.1,50.6,48.8,Good
Bengaluru,146.6,50.1,0.23,80.3,55.6,47.6,21.6,31.6,104.7,Unhealthy for Sensitive Groups
Kolkata,69.0,192.3,2.63,75.4,79.4,58.7,16.5,61.4,123.7,Unhealthy for Sensitive Groups
Chennai,95.7,198.7,1.29,40.3,28.9,100.2,33.5,84.1,123.2,Unhealthy for Sensitive Groups
Kolkata,114.4,247.8,0.9,29.7,33.2,50.7,27.6,72.3,137.5,Unhealthy for Sensitive Groups
Jaipur,100.3,226.2,3.66,99.7,38.8,86.0,12.8,39.7,151.2,Unhealthy
Lucknow,14.3,140.7,4.43,75.6,42.6,101.1,29.1,90.9,108.5,Unhealthy for Sensitive Groups
Kolkata,112.5,78.6,3.02,97.4,24.3,9.5,29.2,58.7,103.6,Unhealthy for Sensitive Groups
Chennai,170.1,132.3,3.02,117.2,8.8,42.3,22.8,70.2,152.2,Unhealthy
Bengaluru,131.8,260.6,0.5,15.4,24.2,117.0,39.3,46.1,154.8,Unhealthy
Hyderabad,60.4,337.4,2.16,51.5,2.4,28.6,26.2,61.9,138.8,Unhealthy for Sensitive Groups
Chennai,237.0,283.0,4.31,105.8,65.4,82.6,32.2,92.5,240.7,Very Unhealthy
Chennai,190.6,336.8,2.17,58.0,47.8,8.7,13.7,25.1,204.5,Very Unhealthy
Hyderabad,170.8,88.2,1.56,114.9,42.3,6.3,36.6,38.6,120.2,Unhealthy for Sensitive Groups
Lucknow,23.6,326.7,2.25,45.7,71.8,41.3,40.3,71.2,138.1,Unhealthy for Sensitive Groups
Mumbai,185.6,89.9,1.24,35.5,19.9,117.7,36.8,46.7,139.4,Unhealthy for Sensitive Groups
Lucknow,230.4,239.8,3.05,75.6,61.6,78.1,11.4,56.2,213.4,Very Unhealthy
Kolkata,225.0,309.5,2.67,36.6,16.3,108.2,26.4,49.8,221.9,Very Unhealthy
Patna,18.3,281.8,2.26,67.2,41.2,58.2,32.0,33.1,128.5,Unhealthy for Sensitive Groups
Chennai,117.7,244.3,0.25,29.2,47.3,48.9,29.6,39.5,129.1,Unhealthy for Sensitive Groups
Lucknow,71.0,335.9,1.68,26.2,35.1,61.6,34.1,47.4,137.4,Unhealthy for Sensitive Groups
Kolkata,49.1,54.6,2.68,31.3,9.8,41.4,17.5,52.4,62.0,Moderate
Hyderabad,201.0,261.1,2.23,6.1,34.9,23.2,38.6,67.3,179.9,Unhealthy
Mumbai,197.4,112.0,2.62,70.3,33.1,98.2,11.9,81.0,157.2,Unhealthy
Jaipur,115.2,123.8,1.75,69.4,74.7,39.8,10.6,29.1,127.0,Unhealthy for Sensitive Groups
Mumbai,53.7,205.8,2.99,25.1,62.9,52.9,31.5,56.6,119.1,Unhealthy for Sensitive Groups
Mumbai,98.4,107.4,2.92,21.7,15.1,114.0,20.8,67.3,109.1,Unhealthy for Sensitive Groups
Hyderabad,24.4,126.8,1.55,80.1,57.4,86.7,22.7,86.6,86.2,Moderate
Mumbai,188.2,187.1,2.14,24.2,68.6,21.9,17.5,38.9,166.6,Unhealthy
Mumbai,56.6,145.0,0.61,112.7,38.9,12.3,34.7,59.3,102.4,Unhealthy for Sensitive Groups
Kolkata,69.3,62.8,3.02,106.8,26.1,38.4,19.1,67.0,80.8,Moderate
Patna,12.0,235.6,3.9,42.4,39.1,136.6,27.3,40.4,112.9,Unhealthy for Sensitive Groups
Patna,48.4,213.2,2.91,78.1,46.0,75.7,30.5,43.2,114.5,Unhealthy for Sensitive Groups
Bengaluru,60.6,40.4,1.52,52.4,14.1,6.4,26.7,76.9,48.1,Good
Delhi,120.0,12.8,4.16,113.9,39.2,6.2,23.8,42.0,103.1,Unhealthy for Sensitive Groups
Mumbai,139.3,74.1,3.99,55.3,21.5,101.5,30.7,82.1,121.9,Unhealthy for Sensitive Groups
Pune,108.4,91.5,3.49,109.6,65.0,97.4,19.1,75.7,137.3,Unhealthy for Sensitive Groups
Kolkata,51.1,33.3,0.79,17.7,37.5,66.1,32.4,56.9,42.5,Good
Lucknow,17.2,191.9,1.0,16.8,23.0,101.6,33.3,37.5,64.7,Moderate
Kolkata,58.2,152.9,3.58,62.3,31.0,99.1,11.0,26.0,119.3,Unhealthy for Sensitive Groups
Chennai,18.7,273.7,0.51,59.1,17.0,118.6,36.2,82.1,88.1,Moderate
Pune,99.3,341.5,1.26,119.4,17.5,104.3,13.0,70.0,158.0,Unhealthy
Chennai,172.0,116.1,1.59,77.4,5.3,131.6,26.7,39.0,144.5,Unhealthy for Sensitive Groups
Pune,93.3,27.7,3.07,116.9,20.4,63.6,10.5,79.6,99.6,Moderate
Mumbai,198.3,13.0,0.38,95.1,39.1,85.5,21.9,26.7,108.6,Unhealthy for Sensitive Groups
Lucknow,173.1,125.1,4.37,92.3,6.7,53.0,14.9,60.2,150.4,Unhealthy
Kolkata,62.0,343.8,3.59,92.0,64.8,64.2,16.2,71.7,161.8,Unhealthy
Lucknow,66.4,23.4,3.24,69.3,44.3,71.2,28.1,60.8,75.3,Moderate
Delhi,72.5,292.7,4.13,68.8,7.4,25.9,19.5,39.8,147.6,Unhealthy for Sensitive Groups
Patna,195.1,182.0,3.35,106.5,50.3,54.2,29.8,44.1,170.8,Unhealthy
Mumbai,205.7,74.6,3.14,93.1,14.0,43.2,23.1,44.2,142.3,Unhealthy for Sensitive Groups
Lucknow,15.7,328.9,0.97,8.6,10.4,30.9,11.0,68.1,98.0,Moderate
Mumbai,133.8,248.4,1.3,47.1,49.3,14.6,39.8,35.7,144.5,Unhealthy for Sensitive Groups
Patna,119.7,227.2,1.75,90.5,71.5,116.0,35.4,24.4,155.6,Unhealthy
Patna,15.0,33.9,1.51,113.6,76.9,18.1,33.2,59.9,42.4,Good
Pune,165.9,203.8,4.27,69.2,45.5,105.7,34.5,63.2,186.4,Unhealthy
Hyderabad,221.3,66.7,0.98,51.2,28.3,26.4,41.9,53.2,131.5,Unhealthy for Sensitive Groups
Pune,139.8,348.9,3.83,52.4,51.4,116.5,20.4,38.1,202.3,Very Unhealthy
Patna,192.6,324.9,1.29,115.6,36.9,58.6,33.2,93.7,205.5,Very Unhealthy
Patna,38.1,312.7,0.23,118.2,18.8,47.5,34.7,90.8,129.4,Unhealthy for Sensitive Groups
Bengaluru,130.3,204.0,2.66,15.8,37.9,26.1,18.5,86.7,130.6,Unhealthy for Sensitive Groups
Jaipur,203.7,41.2,1.92,110.6,59.3,102.7,35.4,33.0,155.6,Unhealthy
Pune,205.8,42.4,2.96,9.3,65.1,56.5,35.0,89.1,132.5,Unhealthy for Sensitive Groups
Bengaluru,107.0,305.1,3.94,31.1,52.9,86.3,10.4,78.3,167.4,Unhealthy
Jaipur,133.5,118.6,2.63,42.6,56.4,25.7,31.6,94.8,137.6,Unhealthy for Sensitive Groups
Bengaluru,145.9,40.6,2.06,95.4,13.5,50.4,25.2,75.9,112.6,Unhealthy for Sensitive Groups
Jaipur,25.8,180.6,3.53,20.0,12.5,80.5,25.6,68.9,85.5,Moderate
Hyderabad,249.3,188.2,1.24,35.6,35.5,97.4,28.4,28.4,181.6,Unhealthy
Kolkata,90.3,119.1,2.75,7.8,25.8,138.3,29.7,94.3,103.6,Unhealthy for Sensitive Groups
Jaipur,112.9,324.2,1.2,83.8,14.2,103.3,12.7,75.5,154.7,Unhealthy
Patna,232.0,305.4,3.73,6.6,56.1,20.0,24.4,21.7,208.7,Very Unhealthy
Patna,56.9,195.8,3.43,68.1,50.6,139.0,32.2,70.1,122.3,Unhealthy for Sensitive Groups
Bengaluru,15.7,67.9,1.42,95.8,50.2,12.2,31.0,20.6,51.3,Moderate
Mumbai,167.4,320.4,1.75,17.4,24.8,124.3,22.4,93.5,183.0,Unhealthy
Patna,226.4,174.8,2.77,15.1,17.5,135.5,27.9,73.4,167.1,Unhealthy
Bengaluru,79.7,176.6,3.4,7.1,55.4,53.0,19.7,94.7,130.8,Unhealthy for Sensitive Groups
Pune,203.9,222.8,3.98,107.4,65.6,9.0,27.8,41.0,190.8,Unhealthy
Bengaluru,165.9,39.9,1.84,115.5,49.8,89.4,17.3,38.0,116.5,Unhealthy for Sensitive Groups
Patna,227.9,122.0,2.53,28.8,12.8,78.1,35.6,84.7,158.4,Unhealthy
Mumbai,227.8,156.2,4.11,93.6,53.2,81.3,15.1,25.1,199.4,Unhealthy
Bengaluru,50.1,295.4,0.83,8.4,26.9,136.3,40.8,42.8,123.4,Unhealthy for Sensitive Groups
Chennai,42.2,73.9,0.77,8.0,78.9,88.3,29.4,65.9,60.2,Moderate
Lucknow,173.4,132.1,3.16,59.8,41.2,86.6,32.8,48.0,165.2,Unhealthy
Chennai,121.1,65.7,1.17,52.0,77.6,129.9,40.4,36.7,108.5,Unhealthy for Sensitive Groups
Pune,190.7,32.5,4.19,118.3,69.6,71.1,20.4,54.3,148.2,Unhealthy for Sensitive Groups
Delhi,195.2,216.7,3.74,87.8,32.7,131.8,28.3,60.2,201.2,Very Unhealthy
Patna,132.6,163.5,3.76,9.9,79.7,75.0,22.7,75.1,145.5,Unhealthy for Sensitive Groups
Delhi,192.5,337.3,1.02,55.5,71.0,109.4,19.1,32.5,194.6,Unhealthy
Patna,174.0,317.2,2.19,79.3,9.1,72.6,15.8,63.9,204.7,Very Unhealthy
Kolkata,38.2,150.6,2.14,25.6,48.0,101.2,16.5,54.1,79.2,Moderate
Kolkata,181.0,52.0,0.69,56.7,30.3,75.7,22.3,79.3,116.5,Unhealthy for Sensitive Groups
Delhi,97.8,139.4,3.5,109.9,46.1,94.0,14.8,85.2,124.0,Unhealthy for Sensitive Groups
Bengaluru,107.8,115.2,3.51,56.3,50.9,20.9,14.2,35.2,123.0,Unhealthy for Sensitive Groups
Lucknow,8.0,179.2,2.34,97.9,49.4,71.6,16.9,69.5,89.4,Moderate
Hyderabad,24.5,214.0,1.25,67.9,50.3,80.3,36.4,23.7,83.8,Moderate
Bengaluru,14.0,300.3,3.07,101.4,25.3,129.3,11.6,51.3,122.6,Unhealthy for Sensitive Groups
Bengaluru,154.7,245.1,2.76,95.5,15.8,66.5,28.5,89.9,161.0,Unhealthy
Hyderabad,84.1,315.2,3.73,92.2,67.8,13.8,25.1,29.2,177.5,Unhealthy
Jaipur,134.1,188.4,3.19,75.4,10.5,103.5,30.1,94.0,151.9,Unhealthy
Jaipur,233.8,345.3,1.43,75.0,26.7,75.9,41.8,46.5,210.6,Very Unhealthy
Lucknow,126.6,257.9,2.34,97.9,70.9,36.4,19.3,34.5,151.6,Unhealthy
Delhi,158.2,50.1,3.85,96.9,79.9,60.9,20.7,62.0,143.8,Unhealthy for Sensitive Groups
Pune,162.0,244.6,1.29,12.8,25.4,79.2,34.5,28.5,148.9,Unhealthy for Sensitive Groups
Kolkata,182.5,219.4,0.33,25.2,27.8,50.6,31.5,88.7,158.1,Unhealthy
Bengaluru,123.0,223.2,4.04,66.8,28.1,110.8,23.2,75.7,173.5,Unhealthy
Kolkata,143.4,240.6,2.59,7.2,47.0,49.8,39.3,79.7,140.7,Unhealthy for Sensitive Groups
Bengaluru,73.7,20.6,4.43,77.0,67.7,82.1,22.5,64.6,107.4,Unhealthy for Sensitive Groups
Bengaluru,177.8,116.9,0.34,52.6,40.8,37.1,24.5,91.3,117.2,Unhealthy for Sensitive Groups
Hyderabad,47.9,137.2,0.36,28.2,9.2,73.3,35.6,87.9,58.5,Moderate
Kolkata,231.3,259.0,2.45,94.2,13.2,122.7,36.3,90.4,217.5,Very Unhealthy
Hyderabad,55.3,22.4,1.87,104.5,11.0,47.0,11.4,83.6,76.4,Moderate
Chennai,119.4,25.7,2.44,80.8,26.4,83.0,20.0,86.9,94.3,Moderate
Mumbai,75.2,191.0,3.52,82.2,23.3,26.3,13.7,91.9,127.6,Unhealthy for Sensitive Groups
Hyderabad,55.6,129.1,1.57,21.3,56.9,43.2,17.8,25.3,84.0,Moderate
Jaipur,137.4,27.2,0.32,108.9,5.9,56.8,12.8,49.4,98.1,Moderate
Lucknow,159.2,244.6,2.12,45.9,27.9,31.7,34.3,80.7,148.4,Unhealthy for Sensitive Groups
Chennai,144.1,41.6,3.65,85.3,9.6,46.9,30.6,77.5,120.4,Unhealthy for Sensitive Groups
Lucknow,40.2,314.5,1.31,46.8,16.3,128.8,20.6,84.6,119.3,Unhealthy for Sensitive Groups
Mumbai,12.4,171.6,1.71,58.0,15.3,108.7,29.3,29.6,67.8,Moderate
Pune,84.8,230.8,3.61,66.3,33.3,60.8,29.9,61.1,155.8,Unhealthy
Mumbai,21.2,80.8,3.18,54.6,78.5,81.6,21.0,72.1,65.6,Moderate
Pune,186.1,252.0,3.8,18.1,48.5,48.9,13.1,53.4,181.4,Unhealthy
Jaipur,22.1,47.0,3.7,93.7,31.6,71.7,31.1,26.8,82.4,Moderate
Hyderabad,226.3,226.3,0.2,21.9,13.6,76.7,22.5,63.3,160.6,Unhealthy
Jaipur,78.4,280.1,3.12,110.6,75.1,101.9,39.3,94.3,162.5,Unhealthy
